igre,disciplina,poddisciplina,mesto,ime,drzava,rezultat
Pyeongchang 2018,alpine skiing,mens alpine combined,1,Marcel Hirscher,AUT,2:06.52
Pyeongchang 2018,alpine skiing,mens alpine combined,2,Alexis Pinturault,FRA,2:06.75
Pyeongchang 2018,alpine skiing,mens alpine combined,3,Victor Muffat Jeandet 1,FRA,2:07.54
Pyeongchang 2018,alpine skiing,mens alpine combined,4,Marco Schwarz,AUT,2:07.87
Pyeongchang 2018,alpine skiing,mens alpine combined,5,Ted Ligety,USA,2:07.97
Pyeongchang 2018,alpine skiing,mens alpine combined,6,Thomas Mermillod Blondin,FRA,2:08.02
Pyeongchang 2018,alpine skiing,mens alpine combined,7,Kjetil Jansrud,NOR,2:08.67
Pyeongchang 2018,alpine skiing,mens alpine combined,8,Stefan Hadalin,SLO,2:08.94
Pyeongchang 2018,alpine skiing,mens alpine combined,9,Thomas Dressen,GER,2:08.96
Pyeongchang 2018,alpine skiing,mens alpine combined,10,Klemen Kosi,SLO,2:09.37
Pyeongchang 2018,alpine skiing,mens alpine combined,11,Luca Aerni,SUI,2:09.52
Pyeongchang 2018,alpine skiing,mens alpine combined,12,Filip Zubcic,CRO,2:09.60
Pyeongchang 2018,alpine skiing,mens alpine combined,14,Christof Innerhofer,ITA,2:09.75
Pyeongchang 2018,alpine skiing,mens alpine combined,15,Carlo Janka,SUI,2:09.80
Pyeongchang 2018,alpine skiing,mens alpine combined,16,Ondrej Berndt,CZE,2:09.91
Pyeongchang 2018,alpine skiing,mens alpine combined,17,Bryce Bennett,USA,2:09.97
Pyeongchang 2018,alpine skiing,mens alpine combined,18,Riccardo Tonetti,ITA,2:10.21
Pyeongchang 2018,alpine skiing,mens alpine combined,19,Natko Zrncic Dim,CRO,2:10.55
Pyeongchang 2018,alpine skiing,mens alpine combined,20,James Crawford 1,CAN,2:10.77
Pyeongchang 2018,alpine skiing,mens alpine combined,21,Aleksander Aamodt Kilde,NOR,2:11.07
Pyeongchang 2018,alpine skiing,mens alpine combined,22,Adam Zampa,SVK,2:11.10
Pyeongchang 2018,alpine skiing,mens alpine combined,23,Broderick Thompson,CAN,2:11.38
Pyeongchang 2018,alpine skiing,mens alpine combined,24,Andreas Romar,FIN,2:11.52
Pyeongchang 2018,alpine skiing,mens alpine combined,25,Marko Vukicevic,SRB,2:11.74
Pyeongchang 2018,alpine skiing,mens alpine combined,26,Kristaps Zvejnieks,LAT,2:11.76
Pyeongchang 2018,alpine skiing,mens alpine combined,27,Joan Verdu Sanchez,AND,2:12.54
Pyeongchang 2018,alpine skiing,mens alpine combined,28,Olivier Jenot,MON,2:13.44
Pyeongchang 2018,alpine skiing,mens alpine combined,29,Marc Oliveras,AND,2:14.64
Pyeongchang 2018,alpine skiing,mens alpine combined,30,Christoffer Faarup,DEN,2:15.21
Pyeongchang 2018,alpine skiing,mens alpine combined,31,Igor Zakurdaev,KAZ,2:15.47
Pyeongchang 2018,alpine skiing,mens alpine combined,32,Dalibor Samsal 1,HUN,2:15.94
Pyeongchang 2018,alpine skiing,mens alpine combined,33,Dong Woo Kim 1,KOR,2:17.04
Pyeongchang 2018,alpine skiing,mens alpine combined,34,Yuri Danilochkin,BLR,2:18.72
Pyeongchang 2018,alpine skiing,mens alpine combined,35,Marton Kekesi,HUN,2:20.02
Pyeongchang 2018,alpine skiing,mens alpine combined,36,Jared Goldberg,USA,2:22.88
Pyeongchang 2018,alpine skiing,mens alpine combined,37,Albin Tahiri,KOS,2:23.40
Pyeongchang 2018,alpine skiing,mens downhill,1,Aksel Lund Svindal,NOR,1:40.25
Pyeongchang 2018,alpine skiing,mens downhill,2,Kjetil Jansrud,NOR,1:40.37
Pyeongchang 2018,alpine skiing,mens downhill,3,Beat Feuz,SUI,1:40.43
Pyeongchang 2018,alpine skiing,mens downhill,4,Dominik Paris,ITA,1:40.79
Pyeongchang 2018,alpine skiing,mens downhill,5,Thomas Dressen,GER,1:41.03
Pyeongchang 2018,alpine skiing,mens downhill,6,Peter Fill,ITA,1:41.08
Pyeongchang 2018,alpine skiing,mens downhill,7,Vincent Kriechmayr,AUT,1:41.19
Pyeongchang 2018,alpine skiing,mens downhill,8,Brice Roger,FRA,1:41.39
Pyeongchang 2018,alpine skiing,mens downhill,9,Matthias Mayer,AUT,1:41.46
Pyeongchang 2018,alpine skiing,mens downhill,10,Andreas Sander,GER,1:41.62
Pyeongchang 2018,alpine skiing,mens downhill,11,Max Franz,AUT,1:41.75
Pyeongchang 2018,alpine skiing,mens downhill,12,Hannes Reichelt,AUT,1:41.76
Pyeongchang 2018,alpine skiing,mens downhill,13,Mauro Caviezel,SUI,1:41.86
Pyeongchang 2018,alpine skiing,mens downhill,14,Manuel Osborne Paradis 1,CAN,1:41.89
Pyeongchang 2018,alpine skiing,mens downhill,15,Aleksander Aamodt Kilde,NOR,1:42.18
Pyeongchang 2018,alpine skiing,mens downhill,16,Bryce Bennett,USA,1:42.22
Pyeongchang 2018,alpine skiing,mens downhill,17,Christof Innerhofer,ITA,1:42.23
Pyeongchang 2018,alpine skiing,mens downhill,18,Johan Clarey,FRA,1:42.39
Pyeongchang 2018,alpine skiing,mens downhill,19,Martin Cater,SLO,1:42.53
Pyeongchang 2018,alpine skiing,mens downhill,20,Jared Goldberg,USA,1:42.59
Pyeongchang 2018,alpine skiing,mens downhill,21,Marc Gisin,SUI,1:42.82
Pyeongchang 2018,alpine skiing,mens downhill,22,Emanuele Buzzi,ITA,1:42.84
Pyeongchang 2018,alpine skiing,mens downhill,23,Maxence Muzaton,FRA,1:42.96
Pyeongchang 2018,alpine skiing,mens downhill,25,Josef Ferstl 1,GER,1:42.98
Pyeongchang 2018,alpine skiing,mens downhill,26,Adrien Theaux,FRA,1:42.99
Pyeongchang 2018,alpine skiing,mens downhill,27,Bostjan Kline,SLO,1:43.03
Pyeongchang 2018,alpine skiing,mens downhill,28,Benjamin Thomsen,CAN,1:43.19
Pyeongchang 2018,alpine skiing,mens downhill,29,Miha Hrobat,SLO,1:43.61
Pyeongchang 2018,alpine skiing,mens downhill,30,Wiley Maple,USA,1:43.72
Pyeongchang 2018,alpine skiing,mens downhill,31,Andreas Romar,FIN,1:43.78
Pyeongchang 2018,alpine skiing,mens downhill,32,Dustin Cook 1,CAN,1:43.80
Pyeongchang 2018,alpine skiing,mens downhill,33,Gilles Roulin,SUI,1:43.88
Pyeongchang 2018,alpine skiing,mens downhill,34,Henrik Von Appen,CHI,1:44.02
Pyeongchang 2018,alpine skiing,mens downhill,35,Broderick Thompson,CAN,1:44.37
Pyeongchang 2018,alpine skiing,mens downhill,36,Christoffer Faarup,DEN,1:44.48
Pyeongchang 2018,alpine skiing,mens downhill,37,Joan Verdu Sanchez,AND,1:44.65
Pyeongchang 2018,alpine skiing,mens downhill,38,Filip Forejtek,CZE,1:44.79
Pyeongchang 2018,alpine skiing,mens downhill,39,Igor Zakurdaev,KAZ,1:45.01
Pyeongchang 2018,alpine skiing,mens downhill,40,Christopher Hoerl,MDA,1:45.21
Pyeongchang 2018,alpine skiing,mens downhill,41,Marko Vukicevic,SRB,1:45.36
Pyeongchang 2018,alpine skiing,mens downhill,42,Michal Klusak,POL,1:45.42
Pyeongchang 2018,alpine skiing,mens downhill,43,Marco Pfiffner,LIE,1:45.61
Pyeongchang 2018,alpine skiing,mens downhill,44,Yuri Danilochkin,BLR,1:45.86
Pyeongchang 2018,alpine skiing,mens downhill,45,Jan Hudec,CZE,1:46.42
Pyeongchang 2018,alpine skiing,mens downhill,46,Jan Zabystran,CZE,1:46.60
Pyeongchang 2018,alpine skiing,mens downhill,47,Simon Breitfuss Kammerlander,BOL,1:47.87
Pyeongchang 2018,alpine skiing,mens downhill,48,Dong Woo Kim 1,KOR,1:47.99
Pyeongchang 2018,alpine skiing,mens downhill,49,Ivan Kovbasnyuk,UKR,1:48.57
Pyeongchang 2018,alpine skiing,mens downhill,50,Albin Tahiri,KOS,1:48.81
Pyeongchang 2018,alpine skiing,mens downhill,51,Marko Stevovic,SRB,1:49.50
Pyeongchang 2018,alpine skiing,mens downhill,52,Patrick Mc Millan,IRL,1:49.98
Pyeongchang 2018,alpine skiing,mens downhill,53,Marton Kekesi,HUN,1:51.72
Pyeongchang 2018,alpine skiing,mens giant slalom,1,Marcel Hirscher,AUT,2:18.04
Pyeongchang 2018,alpine skiing,mens giant slalom,2,Henrik Kristoffersen,NOR,2:19.31
Pyeongchang 2018,alpine skiing,mens giant slalom,3,Alexis Pinturault,FRA,2:19.35
Pyeongchang 2018,alpine skiing,mens giant slalom,4,Zan Kranjec,SLO,2:19.77
Pyeongchang 2018,alpine skiing,mens giant slalom,5,Thomas Fanara,FRA,2:19.83
Pyeongchang 2018,alpine skiing,mens giant slalom,6,Victor Muffat Jeandet 1,FRA,2:19.85
Pyeongchang 2018,alpine skiing,mens giant slalom,7,Mathieu Faivre,FRA,2:19.99
Pyeongchang 2018,alpine skiing,mens giant slalom,8,Leif Kristian Nestvold Haugen,NOR,2:20.23
Pyeongchang 2018,alpine skiing,mens giant slalom,9,Loic Meillard,SUI,2:20.45
Pyeongchang 2018,alpine skiing,mens giant slalom,10,Matts Olsson,SWE,2:20.70
Pyeongchang 2018,alpine skiing,mens giant slalom,11,Erik Read,CAN,2:20.74
Pyeongchang 2018,alpine skiing,mens giant slalom,13,Manfred Moelgg,ITA,2:21.04
Pyeongchang 2018,alpine skiing,mens giant slalom,14,Florian Eisath,ITA,2:21.18
Pyeongchang 2018,alpine skiing,mens giant slalom,15,Gino Caviezel,SUI,2:21.25
Pyeongchang 2018,alpine skiing,mens giant slalom,17,Samu Torsti,FIN,2:21.37
Pyeongchang 2018,alpine skiing,mens giant slalom,18,Trevor Philp,CAN,2:21.51
Pyeongchang 2018,alpine skiing,mens giant slalom,19,Luca Aerni,SUI,2:21.62
Pyeongchang 2018,alpine skiing,mens giant slalom,20,Tommy Ford,USA,2:21.63
Pyeongchang 2018,alpine skiing,mens giant slalom,21,Stefan Hadalin,SLO,2:21.66
Pyeongchang 2018,alpine skiing,mens giant slalom,22,Linus Strasser,GER,2:21.67
Pyeongchang 2018,alpine skiing,mens giant slalom,23,Andre Myhrer,SWE,2:21.69
Pyeongchang 2018,alpine skiing,mens giant slalom,24,Filip Zubcic,CRO,2:21.84
Pyeongchang 2018,alpine skiing,mens giant slalom,25,Adam Zampa,SVK,2:21.86
Pyeongchang 2018,alpine skiing,mens giant slalom,26,Fritz Dopfer,GER,2:22.07
Pyeongchang 2018,alpine skiing,mens giant slalom,27,Philip Brown,CAN,2:22.55
Pyeongchang 2018,alpine skiing,mens giant slalom,28,Albert Popov,BUL,2:23.60
Pyeongchang 2018,alpine skiing,mens giant slalom,29,James Crawford 1,CAN,2:24.12
Pyeongchang 2018,alpine skiing,mens giant slalom,30,Tomoya Ishii,JPN,2:24.78
Pyeongchang 2018,alpine skiing,mens giant slalom,31,Filip Forejtek,CZE,2:26.07
Pyeongchang 2018,alpine skiing,mens giant slalom,32,Sam Maes,BEL,2:26.20
Pyeongchang 2018,alpine skiing,mens giant slalom,33,Dominic Demschar,AUS,2:26.75
Pyeongchang 2018,alpine skiing,mens giant slalom,34,Adam Barwood,NZL,2:27.22
Pyeongchang 2018,alpine skiing,mens giant slalom,35,Kristaps Zvejnieks,LAT,2:28.27
Pyeongchang 2018,alpine skiing,mens giant slalom,36,Willis Feasey,NZL,2:28.28
Pyeongchang 2018,alpine skiing,mens giant slalom,37,Samuel Kolega,CRO,2:28.74
Pyeongchang 2018,alpine skiing,mens giant slalom,38,Olivier Jenot,MON,2:29.09
Pyeongchang 2018,alpine skiing,mens giant slalom,39,Dong Woo Kim 1,KOR,2:30.05
Pyeongchang 2018,alpine skiing,mens giant slalom,40,Tormis Laine,EST,2:30.88
Pyeongchang 2018,alpine skiing,mens giant slalom,41,Marko Vukicevic,SRB,2:31.35
Pyeongchang 2018,alpine skiing,mens giant slalom,42,Marton Kekesi,HUN,2:31.86
Pyeongchang 2018,alpine skiing,mens giant slalom,43,Simon Breitfuss Kammerlander,BOL,2:32.25
Pyeongchang 2018,alpine skiing,mens giant slalom,44,Dalibor Samsal 1,HUN,2:32.88
Pyeongchang 2018,alpine skiing,mens giant slalom,45,Marko Stevovic,SRB,2:33.21
Pyeongchang 2018,alpine skiing,mens giant slalom,46,Ioannis Antoniou,GRE,2:33.30
Pyeongchang 2018,alpine skiing,mens giant slalom,47,Erjon Tola,ALB,2:33.63
Pyeongchang 2018,alpine skiing,mens giant slalom,48,Rodolfo Roberto Dickson Sommers,MEX,2:33.69
Pyeongchang 2018,alpine skiing,mens giant slalom,49,Itamar Biran,ISR,2:33.71
Pyeongchang 2018,alpine skiing,mens giant slalom,50,Matej Falat,SVK,2:34.78
Pyeongchang 2018,alpine skiing,mens giant slalom,51,Igor Zakurdaev,KAZ,2:35.07
Pyeongchang 2018,alpine skiing,mens giant slalom,52,Komiljon Tukhtaev,UZB,2:35.99
Pyeongchang 2018,alpine skiing,mens giant slalom,53,Adam Lamhamedi,MAR,2:36.04
Pyeongchang 2018,alpine skiing,mens giant slalom,54,Yuri Danilochkin,BLR,2:36.89
Pyeongchang 2018,alpine skiing,mens giant slalom,55,Alexandru Barbu,ROU,2:37.14
Pyeongchang 2018,alpine skiing,mens giant slalom,56,Albin Tahiri,KOS,2:37.47
Pyeongchang 2018,alpine skiing,mens giant slalom,57,Ivan Kovbasnyuk,UKR,2:37.67
Pyeongchang 2018,alpine skiing,mens giant slalom,58,Mohammad Kiyadarbandsari,IRI,2:37.72
Pyeongchang 2018,alpine skiing,mens giant slalom,59,Andrej Drukarov,LTU,2:38.19
Pyeongchang 2018,alpine skiing,mens giant slalom,60,Casper Dyrbye Naested,DEN,2:38.34
Pyeongchang 2018,alpine skiing,mens giant slalom,61,Shannon Abeda,ERI,2:39.87
Pyeongchang 2018,alpine skiing,mens giant slalom,62,Matthieu Osch,LUX,2:40.39
Pyeongchang 2018,alpine skiing,mens giant slalom,63,Evgeniy Timofeev,KGZ,2:41.03
Pyeongchang 2018,alpine skiing,mens giant slalom,64,Eldar Salihovic,MNE,2:41.23
Pyeongchang 2018,alpine skiing,mens giant slalom,65,Alessandro Mariotti,SMR,2:42.87
Pyeongchang 2018,alpine skiing,mens giant slalom,66,Arthur Hanse,POR,2:43.95
Pyeongchang 2018,alpine skiing,mens giant slalom,67,Serdar Deniz,TUR,2:44.23
Pyeongchang 2018,alpine skiing,mens giant slalom,68,Jeffrey Webb,MAS,2:47.67
Pyeongchang 2018,alpine skiing,mens giant slalom,69,Yangming Zhang,CHN,2:48.68
Pyeongchang 2018,alpine skiing,mens giant slalom,70,Asa Miller,PHI,2:49.95
Pyeongchang 2018,alpine skiing,mens giant slalom,71,Allen Behlok,LBN,2:52.13
Pyeongchang 2018,alpine skiing,mens giant slalom,72,Muhammad Karim,PAK,2:54.04
Pyeongchang 2018,alpine skiing,mens giant slalom,73,Charles Flaherty,PUR,2:56.05
Pyeongchang 2018,alpine skiing,mens giant slalom,74,Song Il Kang,PRK,3:02.02
Pyeongchang 2018,alpine skiing,mens giant slalom,75,Myong Gwang Choe,PRK,3:12.01
Pyeongchang 2018,alpine skiing,mens super g,1,Matthias Mayer,AUT,1:24.44
Pyeongchang 2018,alpine skiing,mens super g,2,Beat Feuz,SUI,1:24.57
Pyeongchang 2018,alpine skiing,mens super g,3,Kjetil Jansrud,NOR,1:24.62
Pyeongchang 2018,alpine skiing,mens super g,4,Blaise Giezendanner,FRA,1:24.82
Pyeongchang 2018,alpine skiing,mens super g,5,Aksel Lund Svindal,NOR,1:24.93
Pyeongchang 2018,alpine skiing,mens super g,6,Vincent Kriechmayr,AUT,1:25.13
Pyeongchang 2018,alpine skiing,mens super g,7,Dominik Paris,ITA,1:25.18
Pyeongchang 2018,alpine skiing,mens super g,8,Andreas Sander,GER,1:25.21
Pyeongchang 2018,alpine skiing,mens super g,9,Dustin Cook 1,CAN,1:25.23
Pyeongchang 2018,alpine skiing,mens super g,10,Bostjan Kline,SLO,1:25.36
Pyeongchang 2018,alpine skiing,mens super g,11,Hannes Reichelt,AUT,1:25.40
Pyeongchang 2018,alpine skiing,mens super g,12,Thomas Dressen,GER,1:25.51
Pyeongchang 2018,alpine skiing,mens super g,13,Aleksander Aamodt Kilde,NOR,1:25.71
Pyeongchang 2018,alpine skiing,mens super g,14,Ryan Cochran Siegle,USA,1:25.72
Pyeongchang 2018,alpine skiing,mens super g,15,Adrien Theaux,FRA,1:25.76
Pyeongchang 2018,alpine skiing,mens super g,16,Christof Innerhofer,ITA,1:25.90
Pyeongchang 2018,alpine skiing,mens super g,17,Max Franz,AUT,1:25.96
Pyeongchang 2018,alpine skiing,mens super g,18,Maxence Muzaton,FRA,1:26.08
Pyeongchang 2018,alpine skiing,mens super g,19,Brice Roger,FRA,1:26.10
Pyeongchang 2018,alpine skiing,mens super g,20,Matteo Marsaglia,ITA,1:26.11
Pyeongchang 2018,alpine skiing,mens super g,21,Gilles Roulin,SUI,1:26.20
Pyeongchang 2018,alpine skiing,mens super g,22,Manuel Osborne Paradis 1,CAN,1:26.39
Pyeongchang 2018,alpine skiing,mens super g,23,Broderick Thompson,CAN,1:26.45
Pyeongchang 2018,alpine skiing,mens super g,24,Jared Goldberg,USA,1:26.49
Pyeongchang 2018,alpine skiing,mens super g,25,Klemen Kosi,SLO,1:26.50
Pyeongchang 2018,alpine skiing,mens super g,26,Thomas Tumler,SUI,1:26.52
Pyeongchang 2018,alpine skiing,mens super g,27,Josef Ferstl 1,GER,1:26.81
Pyeongchang 2018,alpine skiing,mens super g,28,Joan Verdu Sanchez,AND,1:26.86
Pyeongchang 2018,alpine skiing,mens super g,29,Natko Zrncic Dim,CRO,1:27.05
Pyeongchang 2018,alpine skiing,mens super g,30,Henrik Von Appen,CHI,1:27.57
Pyeongchang 2018,alpine skiing,mens super g,31,Andreas Romar,FIN,1:27.70
Pyeongchang 2018,alpine skiing,mens super g,32,Christoffer Faarup,DEN,1:27.81
Pyeongchang 2018,alpine skiing,mens super g,33,Marc Oliveras,AND,1:27.84
Pyeongchang 2018,alpine skiing,mens super g,34,Filip Forejtek,CZE,1:28.06
Pyeongchang 2018,alpine skiing,mens super g,35,Ondrej Berndt,CZE,1:28.30
Pyeongchang 2018,alpine skiing,mens super g,36,Marco Pfiffner,LIE,1:28.57
Pyeongchang 2018,alpine skiing,mens super g,37,Willis Feasey,NZL,1:28.59
Pyeongchang 2018,alpine skiing,mens super g,38,Olivier Jenot,MON,1:28.80
Pyeongchang 2018,alpine skiing,mens super g,39,Andreas Zampa,SVK,1:28.89
Pyeongchang 2018,alpine skiing,mens super g,40,Jan Zabystran,CZE,1:29.68
Pyeongchang 2018,alpine skiing,mens super g,41,Igor Zakurdaev,KAZ,1:29.96
Pyeongchang 2018,alpine skiing,mens super g,42,Yuri Danilochkin,BLR,1:30.13
Pyeongchang 2018,alpine skiing,mens super g,43,Adam Barwood,NZL,1:31.10
Pyeongchang 2018,alpine skiing,mens super g,44,Dong Woo Kim 1,KOR,1:31.64
Pyeongchang 2018,alpine skiing,mens super g,45,Simon Breitfuss Kammerlander,BOL,1:31.69
Pyeongchang 2018,alpine skiing,mens super g,46,Marko Stevovic,SRB,1:31.70
Pyeongchang 2018,alpine skiing,mens super g,47,Albin Tahiri,KOS,1:32.74
Pyeongchang 2018,alpine skiing,mens super g,48,Patrick Mc Millan,IRL,1:33.54
Pyeongchang 2018,alpine skiing,ladies downhill,1,Sofia Goggia,ITA,1:39.22
Pyeongchang 2018,alpine skiing,ladies downhill,2,Ragnhild Mowinckel,NOR,1:39.31
Pyeongchang 2018,alpine skiing,ladies downhill,3,Lindsey Vonn,USA,1:39.69
Pyeongchang 2018,alpine skiing,ladies downhill,4,Tina Weirather,LIE,1:39.85
Pyeongchang 2018,alpine skiing,ladies downhill,5,Alice Mckennis,USA,1:40.24
Pyeongchang 2018,alpine skiing,ladies downhill,6,Corinne Suter,SUI,1:40.29
Pyeongchang 2018,alpine skiing,ladies downhill,7,Breezy Johnson,USA,1:40.34
Pyeongchang 2018,alpine skiing,ladies downhill,8,Michelle Gisin,SUI,1:40.55
Pyeongchang 2018,alpine skiing,ladies downhill,9,Viktoria Rebensburg,GER,1:40.64
Pyeongchang 2018,alpine skiing,ladies downhill,10,Ramona Siebenhofer,AUT,1:40.98
Pyeongchang 2018,alpine skiing,ladies downhill,11,Kira Weidle,GER,1:41.01
Pyeongchang 2018,alpine skiing,ladies downhill,12,Nicole Schmidhofer,AUT,1:41.02
Pyeongchang 2018,alpine skiing,ladies downhill,13,Cornelia Huetter,AUT,1:41.04
Pyeongchang 2018,alpine skiing,ladies downhill,15,Laurenne Ross,USA,1:41.10
Pyeongchang 2018,alpine skiing,ladies downhill,16,Jennifer Piot,FRA,1:41.17
Pyeongchang 2018,alpine skiing,ladies downhill,17,Lisa Hoernblad,SWE,1:41.63
Pyeongchang 2018,alpine skiing,ladies downhill,18,Romane Miradoli,FRA,1:41.64
Pyeongchang 2018,alpine skiing,ladies downhill,19,Marusa Ferk,SLO,1:42.00
Pyeongchang 2018,alpine skiing,ladies downhill,20,Greta Small,AUS,1:42.07
Pyeongchang 2018,alpine skiing,ladies downhill,21,Valerie Grenier,CAN,1:42.13
Pyeongchang 2018,alpine skiing,ladies downhill,22,Laura Gauche,FRA,1:42.29
Pyeongchang 2018,alpine skiing,ladies downhill,23,Roni Remme,CAN,1:42.80
Pyeongchang 2018,alpine skiing,ladies downhill,24,Maryna Gasienica Daniel,POL,1:43.30
Pyeongchang 2018,alpine skiing,ladies downhill,25,Noelle Barahona,CHI,1:44.24
Pyeongchang 2018,alpine skiing,ladies downhill,26,Katerina Paulathova,CZE,1:44.69
Pyeongchang 2018,alpine skiing,ladies downhill,27,Alexandra Coletti,MON,1:45.04
Pyeongchang 2018,alpine skiing,ladies downhill,28,Ania Monica Caill,ROU,1:45.06
Pyeongchang 2018,alpine skiing,ladies downhill,29,Barbara Kantorova,SVK,1:45.99
Pyeongchang 2018,alpine skiing,ladies downhill,30,Kim Vanreusel,BEL,1:46.51
Pyeongchang 2018,alpine skiing,ladies downhill,31,Elvedina Muzaferija,BIH,1:46.80
Pyeongchang 2018,alpine skiing,ladies giant slalom,53,Suela Mehilli,ALB,2:46.57
Pyeongchang 2018,alpine skiing,ladies giant slalom,54,Ieva Januskeviciute,LTU,2:47.02
Pyeongchang 2018,alpine skiing,ladies giant slalom,55,Fanying Kong,CHN,2:49.88
Pyeongchang 2018,alpine skiing,ladies giant slalom,56,Arabella Caroline Yili Ng,HKG,2:50.54
Pyeongchang 2018,alpine skiing,ladies giant slalom,57,Ozlem Carikcioglu,TUR,2:53.00
Pyeongchang 2018,alpine skiing,ladies giant slalom,58,Jelena Vujicic,MNE,2:58.65
Pyeongchang 2018,alpine skiing,ladies slalom,45,Olha Knysh,UKR,1:58.00
Pyeongchang 2018,alpine skiing,ladies slalom,46,Tess Arbez,IRL,1:58.47
Pyeongchang 2018,alpine skiing,ladies slalom,47,Mialitiana Clerc,MAD,2:00.27
Pyeongchang 2018,alpine skiing,ladies slalom,48,Anna Lotta Jogeva,EST,2:00.51
Pyeongchang 2018,alpine skiing,ladies slalom,49,Forough Abbasi,IRI,2:04.06
Pyeongchang 2018,alpine skiing,ladies slalom,50,Elise Pellegrin,MLT,2:04.08
Pyeongchang 2018,alpine skiing,ladies slalom,51,Mariya Grigorova,KAZ,2:04.37
Pyeongchang 2018,alpine skiing,ladies slalom,52,Natacha Mohbat,LBN,2:12.04
Pyeongchang 2018,alpine skiing,ladies slalom,53,Mariann Mimi Maroty,HUN,2:12.78
Pyeongchang 2018,alpine skiing,ladies slalom,54,Ryon Hyang Kim,PRK,2:37.98
Pyeongchang 2018,alpine skiing,ladies super g,38,Sabrina Simader,KEN,1:26.25
Pyeongchang 2018,alpine skiing,ladies super g,39,Noelle Barahona,CHI,1:27.16
Pyeongchang 2018,alpine skiing,ladies super g,40,Kim Vanreusel,BEL,1:27.60
Pyeongchang 2018,alpine skiing,ladies super g,41,Sarah Schleper 1,MEX,1:27.93
Pyeongchang 2018,alpine skiing,ladies super g,42,Elvedina Muzaferija,BIH,1:27.97
Pyeongchang 2018,alpine skiing,ladies super g,43,Olha Knysh,UKR,1:30.60
Pyeongchang 2018,biathlon,mens 10km sprint,54,Vladimir Iliev,BUL,25:42.7
Pyeongchang 2018,biathlon,mens 10km sprint,55,Florent Claude,BEL,25:43.7
Pyeongchang 2018,biathlon,mens 10km sprint,56,Anton Sinapov,BUL,25:47.9
Pyeongchang 2018,biathlon,mens 10km sprint,57,Anton Babikov,OAR,25:48.5
Pyeongchang 2018,biathlon,mens 10km sprint,58,Leif Nordgren,USA,25:49.0
Pyeongchang 2018,biathlon,mens 10km sprint,59,Grzegorz Guzik,POL,25:52.2
Pyeongchang 2018,biathlon,mens 10km sprint,60,Cornel Puchianu,ROU,25:52.7
Pyeongchang 2018,biathlon,mens 10km sprint,61,Scott Gow,CAN,25:52.8
Pyeongchang 2018,biathlon,mens 10km sprint,62,Christian Gow,CAN,25:53.5
Pyeongchang 2018,biathlon,mens 10km sprint,63,Jeremy Finello,SUI,25:54.7
Pyeongchang 2018,biathlon,mens 10km sprint,64,Mario Dolder,SUI,25:54.8
Pyeongchang 2018,biathlon,mens 10km sprint,65,Sean Doherty,USA,25:55.2
Pyeongchang 2018,biathlon,mens 10km sprint,66,Oskars Muiznieks,LAT,25:56.3
Pyeongchang 2018,biathlon,mens 10km sprint,67,Andrzej Nedza Kubiniec,POL,25:59.2
Pyeongchang 2018,biathlon,mens 10km sprint,68,Remus Faur,ROU,26:03.3
Pyeongchang 2018,biathlon,mens 10km sprint,69,Michal Slesingr,CZE,26:06.0
Pyeongchang 2018,biathlon,mens 10km sprint,70,Tomas Hasilla,SVK,26:10.4
Pyeongchang 2018,biathlon,mens 10km sprint,71,Raman Yaliotnau,BLR,26:12.6
Pyeongchang 2018,biathlon,mens 10km sprint,72,Mitja Drinovec,SLO,26:13.7
Pyeongchang 2018,biathlon,mens 10km sprint,73,Adam Vaclavik,CZE,26:15.4
Pyeongchang 2018,biathlon,mens 10km sprint,74,Simon Bartko,SVK,26:18.4
Pyeongchang 2018,biathlon,mens 10km sprint,75,Rene Zahkna 1,EST,26:19.9
Pyeongchang 2018,biathlon,mens 10km sprint,76,Kauri Koiv,EST,26:23.3
Pyeongchang 2018,biathlon,mens 10km sprint,77,Tobias Eberhard,AUT,26:24.3
Pyeongchang 2018,biathlon,mens 10km sprint,78,Volodymyr Siemakov,UKR,26:31.7
Pyeongchang 2018,biathlon,mens 10km sprint,79,Vladislav Vitenko,KAZ,26:32.7
Pyeongchang 2018,biathlon,mens 10km sprint,80,Vassiliy Podkorytov,KAZ,26:34.7
Pyeongchang 2018,biathlon,mens 10km sprint,81,Dimitar Gerdzhikov,BUL,26:47.9
Pyeongchang 2018,biathlon,mens 10km sprint,82,Brendan Green,CAN,26:48.0
Pyeongchang 2018,biathlon,mens 10km sprint,83,Matvey Eliseev,OAR,26:59.3
Pyeongchang 2018,biathlon,mens 10km sprint,84,Mikito Tachizaki,JPN,27:27.1
Pyeongchang 2018,biathlon,mens 10km sprint,85,Maxim Braun,KAZ,27:46.7
Pyeongchang 2018,biathlon,mens 10km sprint,86,Gheorghe Pop,ROU,28:04.4
Pyeongchang 2018,biathlon,mens 10km sprint,87,Marius Ungureanu,ROU,28:59.1
Pyeongchang 2018,biathlon,mens 12 5km pursuit,60,Anton Sinapov,BUL,40:49.1
Pyeongchang 2018,biathlon,mens 15km mass start,1,Martin Fourcade,FRA,35:47.3
Pyeongchang 2018,biathlon,mens 15km mass start,2,Simon Schempp,GER,35:47.3
Pyeongchang 2018,biathlon,mens 15km mass start,3,Emil Hegle Svendsen,NOR,35:58.5
